Date,Ticker,Open,High,Low,Close,Volume
2026-06-08,BAJAJHLDNG,10092.0,10092.0,9816.0,9868.0,45644
2026-06-09,BAJAJHLDNG,9938.0,10280.0,9870.0,10253.0,57488
2026-06-10,BAJAJHLDNG,10280.0,10283.0,9974.0,10035.0,32889
2026-06-11,BAJAJHLDNG,9976.0,10021.0,9850.0,9863.0,29918
2026-06-12,BAJAJHLDNG,9958.0,10199.0,9904.0,10161.0,29301
2026-06-08,INDIGO,4424.89990234375,4434.0,4350.0,4359.7001953125,827136
2026-06-09,INDIGO,4375.0,4547.89990234375,4375.0,4537.60009765625,1000203
2026-06-10,INDIGO,4511.0,4579.5,4504.5,4524.89990234375,540246
2026-06-11,INDIGO,4481.0,4550.0,4470.0,4502.39990234375,600900
2026-06-12,INDIGO,4599.0,4725.0,4561.7001953125,4709.7001953125,2530474
2026-06-08,AXISBANK,1262.0,1279.199951171875,1262.0,1268.0999755859375,5034388
2026-06-09,AXISBANK,1275.9000244140625,1298.4000244140625,1271.5,1292.4000244140625,7533504
2026-06-10,AXISBANK,1283.5,1326.5,1283.5,1314.5,12262606
2026-06-11,AXISBANK,1308.800048828125,1339.5,1307.300048828125,1317.300048828125,8196686
2026-06-12,AXISBANK,1332.0,1358.5,1318.5,1356.300048828125,8535670
2026-06-08,AUBANK,953.0,968.0999755859375,951.4500122070312,958.9000244140625,1397471
2026-06-09,AUBANK,960.0,980.4500122070312,959.0499877929688,978.5,886909
2026-06-10,AUBANK,981.9000244140625,981.9000244140625,956.6500244140625,959.2000122070312,1740578
2026-06-11,AUBANK,952.0,972.4000244140625,947.25,963.2999877929688,1515822
2026-06-12,AUBANK,970.5,1019.4500122070312,959.0999755859375,1015.5,4077611
2026-06-08,TRENT,2735.9570077345998,2793.8714261465,2704.5034873902055,2720.08056640625,954677
2026-06-09,TRENT,2727.1700083786236,2799.6629830685697,2727.1700083786236,2767.2109375,1496702
2026-06-10,TRENT,2781.0902496339886,2841.301322730479,2739.2521726873797,2750.63525390625,1588046
2026-06-11,TRENT,2743.9452578863215,2745.9423068367482,2676.045593571813,2706.89990234375,980802
2026-06-12,TRENT,2758.0,2783.89990234375,2720.39990234375,2755.300048828125,583327
2026-06-08,IOC,136.74000549316406,136.99000549316406,135.25,135.60000610351562,9213602
2026-06-09,IOC,137.0,138.44000244140625,136.35000610351562,138.1300048828125,12417792
2026-06-10,IOC,138.1300048828125,139.72000122070312,136.5,136.8800048828125,10347575
2026-06-11,IOC,135.0,135.64999389648438,133.5500030517578,134.24000549316406,11817601
2026-06-12,IOC,137.0,141.4499969482422,136.72999572753906,140.94000244140625,18813847
2026-06-08,POLYCAB,9590.5,9699.0,9432.5,9495.0,199100
2026-06-09,POLYCAB,9502.0,9698.0,9423.5,9615.5,232863
2026-06-10,POLYCAB,9621.0,9684.5,9478.5,9523.5,391667
2026-06-11,POLYCAB,9480.0,9525.0,9352.5,9372.0,187312
2026-06-12,POLYCAB,9480.0,9576.0,9383.0,9554.0,162406
2026-06-08,IDBI,72.4000015258789,74.19000244140625,71.69999694824219,71.8499984741211,4980088
2026-06-09,IDBI,72.5,75.88999938964844,72.25,75.37000274658203,15955375
2026-06-10,IDBI,76.9000015258789,77.41999816894531,74.44999694824219,74.93000030517578,15871263
2026-06-11,IDBI,74.25,74.5,72.1500015258789,72.30999755859375,6801209
2026-06-12,IDBI,73.4000015258789,75.62000274658203,73.36000061035156,75.38999938964844,8499345
2026-06-08,YESBANK,22.940000534057617,23.549999237060547,22.920000076293945,23.0,117743530
2026-06-09,YESBANK,23.059999465942383,23.530000686645508,23.059999465942383,23.3700008392334,100528684
2026-06-10,YESBANK,23.399999618530273,23.520000457763672,22.520000457763672,22.600000381469727,97611104
2026-06-11,YESBANK,22.5,22.770000457763672,22.18000030517578,22.219999313354492,93036362
2026-06-12,YESBANK,22.850000381469727,23.049999237060547,22.43000030517578,23.020000457763672,87273100
2026-06-08,NMDC,91.1500015258789,92.01000213623047,89.01000213623047,89.58999633789062,25424714
2026-06-09,NMDC,90.18000030517578,90.7699966430664,89.19999694824219,90.04000091552734,32876138
2026-06-10,NMDC,90.0,90.25,87.91000366210938,88.44999694824219,29633090
2026-06-11,NMDC,87.86000061035156,88.98999786376953,87.44999694824219,88.47000122070312,20240371
2026-06-12,NMDC,90.0,91.30000305175781,89.62000274658203,90.93000030517578,17620294
2026-06-08,APLAPOLLO,1810.0,1834.4000244140625,1779.199951171875,1817.699951171875,996223
2026-06-09,APLAPOLLO,1816.0,1829.5999755859375,1792.199951171875,1799.0,379643
2026-06-10,APLAPOLLO,1790.0,1802.300048828125,1757.300048828125,1762.4000244140625,411076
2026-06-11,APLAPOLLO,1750.0,1776.5,1743.699951171875,1764.0999755859375,473764
2026-06-12,APLAPOLLO,1780.0999755859375,1822.5999755859375,1758.300048828125,1817.5999755859375,737749
2026-06-08,IDEA,14.819999694824219,15.039999961853027,14.260000228881836,14.399999618530273,551994929
2026-06-09,IDEA,14.800000190734863,14.850000381469727,14.029999732971191,14.140000343322754,958236360
2026-06-10,IDEA,14.199999809265137,14.210000038146973,13.75,13.880000114440918,739573180
2026-06-11,IDEA,13.779999732971191,14.489999771118164,13.729999542236328,14.170000076293945,802424304
2026-06-12,IDEA,14.4399995803833,15.09000015258789,14.210000038146973,14.899999618530273,930356200
2026-06-08,MARICO,803.0999755859375,813.4500122070312,800.25,809.0,1585444
2026-06-09,MARICO,809.5499877929688,814.7000122070312,804.6500244140625,813.2000122070312,1004237
2026-06-10,MARICO,814.3499755859375,832.9500122070312,809.1500244140625,819.9000244140625,2365760
2026-06-11,MARICO,819.9000244140625,823.25,807.5,810.7999877929688,2187472
2026-06-12,MARICO,815.1500244140625,821.8499755859375,808.5,819.0499877929688,1184514
2026-06-08,KIRLOSBROS,1711.9000244140625,1724.800048828125,1672.5,1700.300048828125,97116
2026-06-09,KIRLOSBROS,1711.0,1725.0,1696.4000244140625,1716.800048828125,33548
2026-06-10,KIRLOSBROS,1720.9000244140625,1745.0,1705.5,1724.800048828125,64675
2026-06-11,KIRLOSBROS,1725.0,1745.0,1654.0,1664.0999755859375,57850
2026-06-12,KIRLOSBROS,1682.4000244140625,1735.0999755859375,1682.4000244140625,1729.4000244140625,73744
2026-06-08,PVRINOX,967.0,989.5,958.6500244140625,966.4000244140625,94019
2026-06-09,PVRINOX,970.0,973.5999755859375,961.4000244140625,966.75,69017
2026-06-10,PVRINOX,974.9500122070312,977.7999877929688,951.0,957.7000122070312,202239
2026-06-11,PVRINOX,953.2000122070312,958.5,934.2000122070312,945.1500244140625,148083
2026-06-12,PVRINOX,958.7000122070312,964.0,939.0499877929688,943.5,281412
2026-06-08,LICI,395.0,399.95001220703125,392.20001220703125,395.5,3226124
2026-06-09,LICI,396.6499938964844,404.75,396.1499938964844,403.8999938964844,3137828
2026-06-10,LICI,404.1000061035156,406.20001220703125,395.0,395.95001220703125,2722258
2026-06-11,LICI,393.20001220703125,396.1000061035156,391.54998779296875,393.20001220703125,2234212
2026-06-12,LICI,396.1000061035156,399.79998779296875,393.1499938964844,399.3500061035156,2044734
2026-06-08,TATACONSUM,1115.0,1124.5999755859375,1103.300048828125,1107.0,762825
2026-06-09,TATACONSUM,1117.0,1117.0,1093.5999755859375,1106.5,757420
2026-06-10,TATACONSUM,1103.9000244140625,1134.300048828125,1101.0,1108.0,2202915
2026-06-11,TATACONSUM,1108.0,1119.0,1105.0,1108.5999755859375,737748
2026-06-12,TATACONSUM,1120.800048828125,1120.800048828125,1096.699951171875,1100.699951171875,1455068
2026-06-08,BHEL,378.0,389.8999938964844,378.0,386.29998779296875,9622172
2026-06-09,BHEL,388.25,397.3999938964844,385.04998779296875,396.54998779296875,9498965
2026-06-10,BHEL,397.0,397.20001220703125,375.75,377.29998779296875,11028183
2026-06-11,BHEL,376.54998779296875,379.5,367.6000061035156,370.6499938964844,11173287
2026-06-12,BHEL,379.6000061035156,380.1499938964844,369.70001220703125,378.75,9280094
2026-06-08,BAJAJFINSV,1684.0,1696.0,1662.0,1674.5999755859375,757180
2026-06-09,BAJAJFINSV,1682.699951171875,1696.800048828125,1673.0999755859375,1693.0999755859375,567616
2026-06-10,BAJAJFINSV,1689.199951171875,1699.9000244140625,1660.4000244140625,1664.199951171875,525263
2026-06-11,BAJAJFINSV,1656.0999755859375,1658.5999755859375,1640.5,1645.0999755859375,589370
2026-06-12,BAJAJFINSV,1669.0,1692.0,1649.199951171875,1689.0999755859375,1486234
2026-06-08,M&M,2985.0,3006.0,2948.0,2966.0,2415904
2026-06-09,M&M,2995.89990234375,3015.89990234375,2974.0,2990.10009765625,2527267
2026-06-10,M&M,2980.0,3000.0,2943.199951171875,2952.5,2281551
2026-06-11,M&M,2930.0,3012.199951171875,2900.39990234375,3000.89990234375,3177902
2026-06-12,M&M,3025.10009765625,3050.0,2982.60009765625,3042.89990234375,3557496
2026-06-08,JSWENERGY,575.0,586.6500244140625,564.7000122070312,570.9500122070312,1620286
2026-06-09,JSWENERGY,580.5499877929688,583.4500122070312,567.5499877929688,570.4000244140625,1964709
2026-06-10,JSWENERGY,571.9000244140625,575.7999877929688,557.1500244140625,560.6500244140625,2717089
2026-06-11,JSWENERGY,561.5,568.6500244140625,548.2999877929688,552.25,2994970
2026-06-12,JSWENERGY,562.0,566.2999877929688,549.2999877929688,559.3499755859375,2727602
2026-06-08,JSWSTEEL,1270.0,1273.0,1255.0,1260.699951171875,1172766
2026-06-09,JSWSTEEL,1265.0,1273.0,1257.0999755859375,1261.699951171875,1070798
2026-06-10,JSWSTEEL,1266.0,1292.0,1252.5,1269.800048828125,3053155
2026-06-11,JSWSTEEL,1266.0,1293.4000244140625,1261.0,1282.300048828125,1915489
2026-06-12,JSWSTEEL,1298.0,1305.5,1285.0999755859375,1297.5999755859375,1091577
2026-06-08,NATIONALUM,385.5,389.79998779296875,375.1499938964844,378.20001220703125,8633380
2026-06-09,NATIONALUM,378.45001220703125,385.29998779296875,370.20001220703125,383.8999938964844,12056098
2026-06-10,NATIONALUM,383.1000061035156,383.8999938964844,372.1000061035156,376.1499938964844,10055912
2026-06-11,NATIONALUM,369.0,382.75,368.1000061035156,370.6000061035156,7008922
2026-06-12,NATIONALUM,380.0,384.70001220703125,375.20001220703125,376.8500061035156,7674222
2026-06-08,PRESTIGE,1365.0,1376.0,1314.199951171875,1327.5999755859375,489630
2026-06-09,PRESTIGE,1339.0,1360.0,1333.300048828125,1354.0,351677
2026-06-10,PRESTIGE,1347.0,1359.199951171875,1320.0,1328.0,186545
2026-06-11,PRESTIGE,1312.5999755859375,1335.9000244140625,1311.0,1325.300048828125,700746
2026-06-12,PRESTIGE,1354.9000244140625,1394.0,1334.0999755859375,1387.300048828125,465653
2026-06-08,PREMIER,3.0299999713897705,3.049999952316284,2.9000000953674316,2.9000000953674316,4312
2026-06-09,PREMIER,2.9000000953674316,3.0399999618530273,2.9000000953674316,2.940000057220459,2608
